0.0,0.0209,0.0501,0.0774,0.1164,0.2588,0.2824,0.2471,0.2118,0.3059,0.3647,0.4118,0.4941,0.4941,0.5176,0.7765,0.7647,1.0,0.7412,0.6706,0.6235,0.5294,0.2235,0.3765,0.4588,0.7882,0.3294,0.2706,0.4,0.2353,0.2353,0.1765,0.08,0.3059,0.3529,0.8
0.0225,0.0,0.0292,0.0605,0.1024,0.1899,0.2405,0.2911,0.2025,0.3165,0.3671,0.4177,0.519,0.5063,0.5316,0.6329,0.8354,1.0,0.6962,0.6835,0.7848,0.6835,0.3544,0.5316,0.6203,0.9114,0.4684,0.4177,0.5443,0.3797,0.3671,0.3038,0.2152,0.4557,0.6456,1.0
0.049,0.0266,0.0,0.0269,0.0651,0.1494,0.1379,0.2069,0.1609,0.2529,0.2989,0.3448,0.4368,0.4253,0.4598,0.5402,0.5517,0.6322,0.7126,0.7011,0.8046,0.6667,0.3678,0.7471,0.6437,0.9195,0.5172,0.4598,0.5747,0.4253,0.4138,0.3563,0.2759,0.4943,0.6667,1.0
0.0822,0.0598,0.0292,0.0,0.0415,0.125,0.125,0.2,0.1375,0.25,0.3,0.3625,0.675,0.4625,0.5,0.5625,0.575,0.65,0.9125,0.8375,0.7875,0.675,0.35,0.525,0.6125,0.95,0.475,0.4125,0.5375,0.375,0.3625,0.3,0.2125,0.45,0.6375,1.0
0.1676,0.1371,0.0959,0.0563,0.0,0.12,0.1144,0.2203,0.1364,0.2881,0.322,0.4237,0.5932,0.5763,0.6102,0.6949,0.7288,0.8305,0.9322,0.8644,0.9661,0.7458,0.9322,0.7119,0.8136,0.5254,0.9322,0.5763,0.6441,0.4915,0.3729,0.3729,0.3051,0.6271,0.7288,1.0
0.3667,0.25,0.2167,0.1667,0.118,0.0,0.0308,0.0883,0.2,0.35,0.4167,0.4833,0.65,0.6333,0.6667,0.7667,0.7833,0.8833,1.0,0.9167,0.9667,0.6833,0.9833,0.6667,0.7667,0.5833,0.8833,0.5333,0.5833,0.4333,0.3167,0.3167,0.2667,0.5833,0.6833,0.9333
0.4138,0.3276,0.2069,0.1724,0.1164,0.0319,0.0,0.0695,0.2069,0.3448,0.4138,0.4828,0.6207,0.6034,0.6552,0.7931,0.8103,0.931,1.0,0.9655,0.8966,0.6034,0.9655,0.5862,0.6897,0.6034,0.8103,0.431,0.5,0.3448,0.2241,0.2241,0.1679,0.4828,0.5862,0.8276
0.3231,0.3538,0.2769,0.2462,0.2,0.0815,0.062,0.0,0.2769,0.4154,0.4769,0.5385,0.6615,0.6462,0.6923,0.8154,0.8308,0.9231,1.0,0.7231,0.8154,0.6,0.6615,0.5846,0.5692,0.6462,0.7231,0.6462,0.5077,0.3692,0.2615,0.2615,0.2154,0.4923,0.5846,0.7538
0.2903,0.2581,0.2258,0.1774,0.1298,0.1935,0.1935,0.2903,0.0,0.1613,0.2258,0.3065,0.4194,0.4032,0.4516,0.5806,0.6129,0.7097,0.7903,0.7419,0.8387,0.871,0.7903,0.7581,0.8065,0.5,0.9677,0.629,0.6935,0.5484,0.4355,0.4194,0.371,0.6774,0.7742,1.0
0.3768,0.3623,0.3188,0.2899,0.2464,0.3043,0.2899,0.3913,0.1449,0.0,0.071,0.1313,0.2464,0.2319,0.2609,0.3913,0.4058,0.4928,0.5652,0.5217,0.6087,0.6522,0.5797,0.7971,1.0,0.3623,0.7391,0.6667,0.7246,0.5942,0.5362,0.5217,0.4638,0.7246,0.7971,1.0
